Channel,Message ID,Sender User ID,Sender Username,Message DateTime (UTC),Text,Message Type,Is Forward,Origin Username,Geo-location,Hashtags,URLs Shared,Reactions,Message URL,Views,Forwards,Replies
unity_of_fields,1267,unity_of_fields,unity_of_fields,2025-02-20 22:13:49,"**📸 Israeli media releases pictures of the explosive devices that had been planted on Buses across Tel Aviv with the note ""a gift from Tulkarm camp"" written on them.**

@PressTV",MessageMediaPhoto,True,presstv,None,[],[],67,https://t.me/unity_of_fields/1267,709.0,3.0,No Replies
unity_of_fields,1266,unity_of_fields,unity_of_fields,2025-02-20 21:24:05,"6 top charges for Brooklyn Museum codefendants Schubiner, Pelton, and Seligson dismissed by Supreme Court judge Danny Chun, who earlier expressed skepticism on viability (terroristic threat x3, terrorist threat as hate crime x3).

Remaining charges include conspiracy, making a terroristic threat, making a terroristic threat as a hate crime, criminal mischief as a hate crime, and other bullshit. Via Talia Jane on [X](https://x.com/taliaotg/status/1892250133871448104).",Text,False,Not Available,None,[],['https://x.com/taliaotg/status/1892250133871448104).'],43,https://t.me/unity_of_fields/1266,765.0,2.0,No Replies
unity_of_fields,1265,unity_of_fields,unity_of_fields,2025-02-20 19:42:01,"🚨New York prison uprisings

As reported in mainstream media, all outside visits have been cancelled to New York state prisons.

Around midnight on Thursday, there was a militant uprising at Riverview Correctional Facility in Ogdensburg, forcing correctional officers to retreat, vacate their posts, and call in police and emergency response teams to gain control of the situation. Last week there was another prison uprising at Collins Correctional Facility in Erie County.

Correctional officer pigs are currently on strike in 36 facilities across the state, so Gov. Kathy Hochul on Wednesday signed an executive order calling up 3,500 members of the National Guard for service in the remaining unmanned prisons.

A statewide prison uprising is brewing in New York. Long live the spirit of Attica! Attica means fight back!",Text,False,Not Available,None,[],[],125,https://t.me/unity_of_fields/1265,1304.0,9.0,No Replies
unity_of_fields,1263,unity_of_fields,unity_of_fields,2025-02-17 23:05:02,"[**Florida political prisoner**](https://archive.org/details/florida_4_imposed) Caleb Freestone's reflections from his first 3 months inside. He is sentenced to 1 year in federal prison for tagging a fake abortion clinic.

**Excerpts from** [**Update and Thoughts from Behind the Walls, January 2025**](https://mongoosedistro.com/2025/02/14/update-and-thoughts-from-behind-the-walls-january-2025-by-caleb-freestone/)

“NONE ARE FREE UNTIL ALL ARE FREE!!!”

**I think often of the tens of thousands of Palestinian hostages held by the settler-colonial state of Israel, an appendage of the U.S. Empire. Today, it was announced that 1,000 will soon be released. Sinwar, rest in power, leader of the Palestinian Resistance, called his 22 years in prison “the academy”, for he learned the way of his enemy...
**
Please consider writing me, recommending books, sharing the details of our case, speaking up for bodily autonomy and the abolition of prison, distributing copies of this essay, and supporting my spouse and I:

chuffed.org/project/visitcalebf

Cashapp – $JadeF64

Instagram – @[FTLauderdaleFoodNotBombs](http://instagram.com/FTLauderdaleFoodNotBombs), @[SolidarityFTL](http://instagram.com/SolidarityFTL)

In solidarity against all oppression,

Caleb Freestone

–

My name is Caleb Freestone. I am a community organizer, a peace activist, a husband, a gardener, a sailor, a cook, an artist, a writer, an abolitionist, an anarchist, a revolutionary in South Florida. I am a political prisoner serving 366 days at FCI Yazoo City for pro-choice graffiti in the style of Jane’s Revenge on three “fake clinics” in Florida during the Summer of Rage in the aftermath of the U.S. Supreme Court overturning Roe v. Wade in 2022, allowing unrestrained criminalization of abortion healthcare.

“Liberation in our lifetimes and no mercy until then!”

__Print __[__zine__](https://archive.org/details/update-and-thoughts-caleb-imposed)__ here (formatted by @__[__with_whatever_weapons__](https://archive.org/details/@with_whatever_weapons)__)__",MessageMediaPhoto,False,Not Available,None,[],"['https://archive.org/details/florida_4_imposed)', 'https://mongoosedistro.com/2025/02/14/update-and-thoughts-from-behind-the-walls-january-2025-by-caleb-freestone/)', 'http://instagram.com/FTLauderdaleFoodNotBombs),', 'http://instagram.com/SolidarityFTL)', 'https://archive.org/details/update-and-thoughts-caleb-imposed)__', 'https://archive.org/details/@with_whatever_weapons)__)__']",83,https://t.me/unity_of_fields/1263,1356.0,11.0,No Replies
unity_of_fields,1262,unity_of_fields,unity_of_fields,2025-02-14 21:05:44,"(2/2) **CUNY 8 Statement, 14 February 2025**

Contrary to what District Attorney Alvin Bragg and his Zionist backers might allege, we are not criminals. We are merely community members who chose to risk everything to amplify the voices of the oppressed. We don't see that as wrong, we see it as the bare minimum. Nor are we heroes, for the heroes in this struggle are the people of Palestine and their steadfast resistance fighters, who for 16 months fought and emerged victorious against multiple nuclear powers. All of us present today are here to fight for justice-not just for ourselves, but for all who demand to see a better world. Let this be a moment that galvanizes us to stand together, louder and stronger than ever. We will not stop fighting until justice prevails, not just in the halls of power across the street, but in Palestine, Lebanon, Yemen, and everywhere else imperialism rears its ugly head.

Even though a fragile ceasefire has taken hold in Gaza, President Trump has made brazen statements about the future of the Gaza Strip and its inhabitants, while the Israelis have launched Operation Iron Wall in the West Bank, a military operation that has killed dozens of Palestinians and displaced thousands more. In the face of this, I wish to quote Mohammed el-Kurd, who demands that we ""raise the ceiling of what is permissible."" It's the least we can do. Long live Palestine.

Thank you.",Text,False,Not Available,None,[],[],80,https://t.me/unity_of_fields/1262,1676.0,8.0,No Replies
unity_of_fields,1261,unity_of_fields,unity_of_fields,2025-02-14 18:32:28,"(1/2) Today the CUNY 8, who are facing felony charges (up to 7 years in prison) for occupying a building during the Gaza solidarity encampment at CCNY, [appeared](https://x.com/taliaotg/status/1890413873905205412) in court and gave a press conference surrounded by hundreds of supporters, including a recorded message from [Mumia Abu Jamal](https://x.com/fidaimedia/status/1890410174726201759), one of the longest-serving political prisoners in the world. The judge denied their motion to dismiss the charges, and they will next appear in court on 7 May 2025. Follow [Al Fidai Media Network](https://x.com/fidaimedia) for more updates and read the CUNY 8 statement below:

**CUNY 8 Statement, 14 February 2025**

Thank you to everyone who has joined us today in packing the courts, thank you to AFMN for launching this campaign in support of us, thank you to all the speakers, and thank you to all of the organizations who have endorsed this campaign.

We stand before you today as eight individuals who stood in solidarity with the Palestinian struggle against genocide at the CUNY encampment and are now being unjustly targeted with trumped up felony charges. These charges, charges that have loomed over us for nine months, carry the devastating potential of up to seven years of imprisonment. These charges represent a calculated attempt to silence voices of dissent.

This case is not just about the eight of us-it reflects a larger, deeply troubling trend. Around the country and around the world, we are seeing growing efforts to criminalize activism and suppress movements that dare challenge the genocidal intentions of Israel, the United States, and the rest of the so-called West.

These felony charges send a chilling message to anyone who dares challenge systems of power. They seek to intimidate, silence, and isolate us-but, I assure you, we will not be intimidated, we will not be silenced, or, as you all have proven today, we will certainly not be isolated.

The right to protest, to speak out against injustice, and to fight for freedom is not just a fundamental right—it is our moral duty. When this right is under attack, we are all under threat. We are witnessing the criminalization of political dissent—a tactic historically used to suppress movements for civil and workers' rights. The modern iteration of this tactic, a neo-McCarthyism that aims to protect Zionism with the iron shield that is accusations of anti-semitism, is the logical endgame of so-called Western democracy, an illusion whose unraveling has hastened since the commencement of Operation Al Aqsa Flood.

If these felony charges result in convictions, it will further magnify the ability of the state to use the law to incarcerate activists in various movements for as long as possible.
We call on all allies, advocates, and organizations to stand with us in this fight. We need your support, not only to combat these charges but to send a clear message that we will not back down.

This is a fight that transcends one issue or one community. Whether you stand for racial justice, Indigenous rights, workers' rights, or global liberation movements just know that you stand against empire, and we must unite against empire.",Text,False,Not Available,None,[],"['https://x.com/taliaotg/status/1890413873905205412)', 'https://x.com/fidaimedia/status/1890410174726201759),', 'https://x.com/fidaimedia)']",91,https://t.me/unity_of_fields/1261,6906.0,26.0,No Replies
unity_of_fields,1260,unity_of_fields,unity_of_fields,2025-02-10 22:49:11,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1260,2587.0,9.0,No Replies
unity_of_fields,1259,unity_of_fields,unity_of_fields,2025-02-10 22:49:11,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1259,2633.0,9.0,No Replies
unity_of_fields,1258,unity_of_fields,unity_of_fields,2025-02-10 22:49:11,"Update from the [Bowdoin encampment](https://t.me/unity_of_fields/1254): In response to Bowdoin’s egregious announcement of suspension this morning,  a new group of courageous students joined the encampment just 45 minutes before suspensions went into effect.  We will not stand idly by as Bowdoin targets and threatens our classmates. We are enraged by the weaponization of a disciplinary process against members of this community who have exhausted every other means of advocacy.  Their conviction and resolve inspire us, and we will not stop fighting for them. Long live Shaban Al-Dalou Union.",MessageMediaPhoto,False,Not Available,None,[],['https://t.me/unity_of_fields/1254):'],141,https://t.me/unity_of_fields/1258,2479.0,9.0,No Replies
unity_of_fields,1257,unity_of_fields,unity_of_fields,2025-02-10 04:03:26,"Community Defense in Lincoln Heights, Ohio. Make the Nazis and YT Supremacists afraid again. 🔴⚫️🟢 ([X](https://x.com/deepestsouth/status/1888780177800311117))",MessageMediaDocument,False,Not Available,None,[],['https://x.com/deepestsouth/status/1888780177800311117))'],161,https://t.me/unity_of_fields/1257,2118.0,12.0,No Replies
